Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp3pm,RainToday,
Albury,13,32,0,NA,NA,W,43,E,W,4,19,49,17,1013,1010,NA,NA,31,No,
Albury,16,34,0,NA,NA,WSW,35,SE,WSW,9,13,45,19,1011,1008,NA,1,33,No,
Albury,17,33,0,NA,NA,WSW,57,NA,W,0,26,41,28,1007,1004,NA,1,31,No,
Albury,20,33,0,NA,NA,WNW,48,N,WNW,13,30,56,15,1005,1002,NA,NA,32,No,
Albury,20,27,0,NA,NA,WNW,46,NW,WSW,19,30,49,22,1005,1004,NA,NA,26,No,
Albury,13,24,1,NA,NA,WNW,50,WSW,SW,11,22,78,70,1006,1003,8,8,18,Yes,
Albury,12,24,1,NA,NA,W,39,WNW,WNW,17,17,48,28,1006,1005,1,NA,23,No,
Albury,11,27,0,NA,NA,WNW,56,W,WNW,19,31,46,26,1005,1003,NA,NA,26,No,
Albury,10,24,0,NA,NA,W,41,WSW,SSW,19,11,44,22,1014,1013,NA,NA,22,No,
Albury,11,29,0,NA,NA,SSE,26,SSE,E,11,7,43,22,1019,1015,NA,NA,27,No,
Albury,12,35,0,NA,NA,WNW,37,SSE,NW,6,17,41,12,1015,1010,NA,NA,34,No,
Albury,13,36,0,NA,NA,WNW,41,ENE,NW,6,26,41,9,1013,1009,NA,NA,34,No,
Albury,14,38,0,NA,NA,W,52,SE,WNW,4,26,33,8,1011,1007,NA,NA,37,No,
Albury,16,39,0,NA,NA,W,57,E,W,6,30,34,12,1007,1003,NA,NA,38,No,
Albury,14,28,0,NA,NA,W,48,W,WSW,17,24,43,15,1012,1011,NA,NA,28,No,
Albury,13,28,0,NA,NA,NE,37,SSE,S,20,9,38,16,1018,1014,NA,NA,27,No,
Albury,17,31,0,NA,NA,NE,37,NNE,E,15,11,36,24,1013,1008,NA,NA,29,No,
Albury,17,32,0,NA,NA,S,31,SSE,N,13,17,52,31,1010,1007,NA,NA,30,No,
Albury,17,35,0,NA,NA,SW,35,SE,WSW,7,15,48,16,1014,1012,NA,NA,33,No,
Albury,17,38,0,NA,NA,NNW,35,SE,NW,7,17,51,19,1016,1011,NA,NA,36,No,
Albury,17,43,0,NA,NA,NW,39,SSE,SSW,7,17,40,8,1012,1007,NA,NA,42,No,
Albury,20,33,0,NA,NA,WNW,44,W,W,20,28,34,28,1008,1009,NA,NA,27,No,
Albury,15,27,0,NA,NA,SW,56,WSW,SW,20,31,46,20,1014,1013,NA,NA,26,No,
Albury,11,28,0,NA,NA,SE,33,SE,SW,19,11,35,16,1020,1017,NA,NA,26,No,
Albury,11,32,0,NA,NA,WNW,28,ENE,SSW,17,15,34,17,1020,1016,NA,NA,31,No,
Albury,14,37,0,NA,NA,WNW,39,SSE,NNE,2,15,39,10,1016,1011,NA,NA,34,No,
Albury,19,40,0,NA,NA,NNW,61,SSE,WNW,9,20,36,21,1010,1005,NA,NA,38,No,
Albury,19,38,1,NA,NA,NNW,61,NE,WSW,15,17,48,17,1010,1006,NA,NA,36,No,
Albury,24,34,1,NA,NA,NW,98,N,NNW,26,48,60,39,1005,998,4,1,33,No,
Albury,19,35,6,NA,NA,WNW,52,S,NW,6,28,43,28,1008,1004,NA,NA,33,Yes,
Albury,21,31,0,NA,NA,W,54,W,W,30,28,41,21,1005,1008,NA,NA,30,No,
Albury,14,34,0,NA,NA,WSW,24,ESE,SSE,7,13,44,10,1017,1015,NA,NA,32,No,
Albury,16,38,0,NA,NA,S,33,SSE,WSW,7,7,48,12,1018,1015,NA,NA,37,No,
Albury,19,38,0,NA,NA,NNE,31,SE,NNW,9,17,48,25,1018,1014,NA,NA,36,No,
Albury,20,41,0,NA,NA,N,37,E,NNE,7,13,45,15,1015,1012,NA,NA,39,No,
Albury,22,42,0,NA,NA,SW,24,ESE,S,6,11,38,13,1016,1012,NA,NA,40,No,
Albury,22,43,0,NA,NA,NNE,28,ESE,SE,9,11,37,11,1015,1010,NA,NA,41,No,
Albury,22,43,0,NA,NA,ESE,48,ESE,SW,4,4,33,11,1014,1011,NA,NA,42,No,
Albury,28,43,0,NA,NA,SW,83,SE,E,15,9,27,9,1013,1009,NA,NA,42,No,
Albury,24,38,0,NA,NA,SW,56,NE,NW,19,7,32,21,1012,1007,NA,NA,37,No,
Albury,22,38,0,NA,NA,NA,NA,N,NA,13,9,51,21,1009,1006,NA,NA,36,No,
Albury,22,37,0,NA,NA,NA,NA,NA,NA,11,11,53,26,1009,1005,NA,NA,35,No,
Albury,22,41,0,NA,NA,WSW,35,SSE,S,7,19,48,15,1006,1003,NA,NA,40,No,
Albury,24,42,0,NA,NA,W,37,SE,W,6,15,39,8,1008,1005,NA,NA,42,No,
Albury,22,45,0,NA,NA,NNW,59,SE,NW,9,33,36,11,1008,1004,NA,NA,43,No,
Albury,28,40,0,NA,NA,NW,52,N,W,9,22,20,19,1007,1007,NA,5,39,No,
Albury,18,31,0,NA,NA,SE,37,SW,WSW,7,11,66,31,1009,1008,7,8,29,No,
Albury,15,27,0,NA,NA,SSE,41,SSE,SE,20,13,50,30,1012,1009,NA,1,26,No,
Albury,14,27,0,NA,NA,SSE,46,SSE,E,19,11,45,24,1013,1011,NA,NA,25,No,
Albury,16,22,0,NA,NA,SE,46,SSE,NE,11,15,58,69,1017,1017,2,8,17,No,
Albury,15,29,3,NA,NA,SSE,41,SE,SSE,26,24,41,21,1023,1020,NA,NA,28,Yes,
Albury,12,29,0,NA,NA,NE,39,S,NA,7,0,37,18,1023,1016,NA,NA,29,No,
Albury,13,31,0,NA,NA,NNE,41,SSE,SSW,7,15,50,23,1016,1013,NA,NA,29,No,
Albury,17,31,0,NA,NA,E,35,SE,ESE,17,11,43,22,1018,1014,NA,NA,30,No,
Albury,13,29,0,NA,NA,N,31,SSE,ENE,7,11,46,17,1017,1014,NA,NA,27,No,
Albury,18,32,0,NA,NA,NW,31,ENE,SW,4,13,44,22,1012,1008,NA,NA,31,No,
Albury,16,34,0,NA,NA,WSW,48,SE,WSW,4,22,53,16,1008,1005,NA,NA,33,No,
Albury,19,29,0,NA,NA,SSW,41,NNW,SSE,7,17,45,39,1010,1011,NA,NA,27,No,
Albury,14,32,0,NA,NA,SSE,28,SSE,S,2,9,63,19,1013,1010,NA,NA,30,No,
Albury,16,33,0,NA,NA,NW,31,S,WNW,11,15,49,23,1016,1012,NA,NA,31,No,
Albury,14,34,0,NA,NA,NW,70,SE,NW,6,22,48,10,1013,1009,NA,NA,33,No,
Albury,13,30,0,NA,NA,WNW,46,SW,WNW,7,24,54,14,1014,1013,6,7,29,No,
Albury,9,32,0,NA,NA,WNW,43,NA,WSW,0,17,49,16,1017,1013,7,7,29,No,
Albury,15,33,0,NA,NA,ESE,26,ESE,S,15,2,43,19,1018,1015,NA,NA,31,No,
Albury,15,33,0,NA,NA,W,24,NA,S,0,6,53,25,1016,1013,NA,NA,31,No,
Albury,16,35,0,NA,NA,WSW,44,E,NA,6,NA,44,14,1008,1005,NA,NA,34,No,
Albury,13,30,0,NA,NA,W,30,W,WSW,4,13,53,27,1011,1009,NA,NA,28,No,
Albury,13,32,0,NA,NA,NNW,35,S,ENE,6,9,53,25,1014,1012,NA,NA,30,No,
Albury,18,31,0,NA,NA,WNW,52,NE,NNE,15,26,58,35,1015,1009,5,NA,29,No,
Albury,14,22,0,NA,NA,WNW,57,W,WNW,26,33,57,26,1015,1013,NA,NA,22,No,
Albury,12,22,0,NA,NA,SW,50,WSW,W,19,33,60,33,1014,1012,NA,NA,21,No,
Albury,8,24,0,NA,NA,WSW,30,NA,WNW,0,13,52,23,1015,1012,NA,NA,22,No,
Albury,8,28,0,NA,NA,W,37,S,W,4,20,58,22,1015,1012,NA,NA,27,No,
Albury,11,30,0,NA,NA,SSE,24,E,SSE,7,11,54,20,1017,1015,NA,NA,29,No,
Albury,14,32,0,NA,NA,NNE,24,SSE,NE,6,17,49,28,1020,1016,NA,NA,31,No,
Albury,16,32,0,NA,NA,NE,50,ESE,E,2,4,51,25,1020,1016,NA,NA,31,No,
Albury,18,31,1,NA,NA,NE,44,NE,N,15,19,57,23,1021,1018,NA,NA,30,Yes,
Albury,21,26,0,NA,NA,W,37,ENE,S,11,9,52,90,1020,1019,NA,8,19,No,
Albury,17,26,6,NA,NA,ENE,31,NA,S,0,13,82,68,1017,1015,8,NA,24,Yes,
Albury,16,27,3,NA,NA,SW,69,E,N,9,22,82,74,1013,1008,NA,4,20,Yes,
Albury,10,20,12,NA,NA,WNW,39,W,NW,11,17,62,41,1013,1012,NA,8,18,Yes,
Albury,9,22,0,NA,NA,W,39,S,WNW,2,20,78,34,1013,1012,NA,6,21,No,
Albury,8,25,0,NA,NA,WNW,35,SSE,WSW,9,17,78,34,1016,1013,NA,NA,24,No,
Albury,9,28,0,NA,NA,NW,52,SSE,NW,6,11,76,19,1017,1014,NA,NA,27,No,
Albury,11,30,0,NA,NA,WSW,24,S,SW,6,7,56,15,1016,1014,NA,NA,29,No,
Albury,12,34,0,NA,NA,SSE,22,NE,N,7,7,50,13,1017,1014,NA,NA,33,No,
Albury,14,34,0,NA,NA,NNW,28,NA,NNE,0,11,47,17,1017,1013,NA,2,34,No,
Albury,15,30,0,NA,NA,NE,37,E,NNE,4,19,56,30,1015,1013,3,1,29,No,
Albury,14,32,0,NA,NA,NW,37,NA,WNW,0,24,63,25,1014,1012,NA,NA,31,No,
Albury,11,32,0,NA,NA,S,48,SSE,WNW,6,20,62,20,1017,1014,NA,NA,31,No,
Albury,15,22,0,NA,NA,ENE,30,SSE,SSE,11,9,69,78,1017,1019,8,8,20,No,
Albury,13,30,2,NA,NA,WSW,33,NA,WNW,0,20,87,26,1019,1017,NA,6,29,Yes,
Albury,10,28,0,NA,NA,WNW,43,NA,W,0,11,63,30,1023,1021,NA,NA,27,No,
Albury,9,29,0,NA,NA,NNW,24,N,N,2,17,60,26,1024,1021,NA,NA,28,No,
Albury,10,31,0,NA,NA,S,22,NA,SE,0,6,60,18,1022,1019,NA,NA,30,No,
Albury,13,30,0,NA,NA,ENE,22,NA,SE,0,9,57,16,1023,1020,NA,NA,29,No,
Albury,12,30,0,NA,NA,WSW,26,S,SSW,2,13,61,25,1023,1020,NA,NA,29,No,
Albury,12,31,0,NA,NA,SE,22,NA,ENE,0,6,59,22,1023,1019,NA,NA,30,No,
Albury,14,32,0,NA,NA,NE,28,NA,ENE,0,11,59,30,1023,1018,NA,NA,31,No,
Albury,18,28,9,NA,NA,W,98,E,NNE,7,17,92,49,1019,1013,8,6,27,Yes,
Albury,11,21,13,NA,NA,W,43,NA,WSW,0,13,60,33,1020,1019,NA,NA,20,Yes,
Albury,8,22,0,NA,NA,WSW,31,E,NW,6,19,72,37,1020,1017,NA,NA,21,No,
Albury,8,21,0,NA,NA,W,35,SSE,WSW,13,19,58,20,1022,1020,NA,NA,21,No,
Albury,8,23,0,NA,NA,SE,28,S,S,7,7,55,27,1027,1024,NA,NA,22,No,
Albury,8,24,0,NA,NA,SSE,17,SSE,SSE,7,13,60,30,1027,1023,NA,NA,24,No,
Albury,8,26,0,NA,NA,ENE,22,ESE,S,9,13,67,27,1024,1020,NA,NA,25,No,
Albury,12,27,0,NA,NA,W,48,SE,NE,6,11,59,42,1022,1018,8,7,24,No,
Albury,13,25,8,NA,NA,W,46,S,E,6,11,75,47,1024,1020,8,6,24,Yes,
Albury,14,24,6,NA,NA,WSW,20,NA,SE,0,6,88,52,1024,1021,8,NA,23,Yes,
Albury,10,25,0,NA,NA,NNE,19,ENE,SSW,4,7,65,35,1023,1019,NA,NA,25,No,
Albury,12,25,0,NA,NA,WNW,30,NA,W,0,15,68,39,1016,1012,6,NA,25,No,
Albury,11,22,0,NA,NA,W,63,NW,W,26,31,44,27,1008,1010,2,NA,19,No,
Albury,4,20,0,NA,NA,W,31,NA,WNW,0,13,65,30,1016,1013,NA,NA,19,No,
Albury,7,22,0,NA,NA,WNW,26,ENE,W,6,11,59,39,1019,1017,5,1,22,No,
Albury,7,23,0,NA,NA,W,24,SSE,W,2,17,73,37,1023,1019,NA,NA,23,No,
Albury,11,24,0,NA,NA,SE,31,SE,SE,13,15,54,33,1023,1020,NA,NA,24,No,
Albury,7,22,0,NA,NA,SSE,28,SE,SE,2,7,58,29,1024,1020,NA,NA,21,No,
Albury,6,21,0,NA,NA,ESE,17,ENE,SSE,6,7,68,39,1025,1021,NA,NA,21,No,
Albury,6,23,0,NA,NA,ESE,17,NA,SW,0,7,73,33,1026,1022,NA,NA,22,No,
Albury,6,23,0,NA,NA,NE,33,NA,NE,0,20,68,34,1021,1016,NA,NA,23,No,
Albury,11,16,0,NA,NA,WNW,39,ESE,NNE,7,4,74,86,1009,1002,8,8,15,No,
Albury,13,16,20,NA,NA,W,70,WNW,NNW,19,15,83,89,1005,1001,8,8,15,Yes,
Albury,9,13,21,NA,NA,NNW,63,NW,WNW,26,31,77,62,1004,1003,8,8,12,Yes,
Albury,5,12,3,NA,NA,NW,26,N,NNW,9,13,82,79,1014,1014,8,8,9,Yes,
Albury,8,15,5,NA,NA,WNW,35,W,W,15,20,83,48,1018,1018,8,1,14,Yes,
Albury,5,12,0,NA,NA,SSE,19,SE,SSE,9,7,62,46,1023,1021,NA,8,12,No,
Albury,2,17,0,NA,NA,SW,19,NA,SW,0,7,70,38,1023,1022,NA,NA,16,No,
Albury,2,17,0,NA,NA,SW,19,NA,WSW,0,7,77,44,1026,1023,NA,NA,16,No,
Albury,7,19,0,NA,NA,SW,22,ENE,W,7,6,81,49,1027,1024,8,4,19,No,
Albury,5,19,0,NA,NA,S,15,N,SSE,4,7,75,51,1029,1026,NA,NA,19,No,
Albury,4,19,0,NA,NA,W,19,ENE,WSW,6,13,86,44,1030,1027,NA,NA,19,No,
Albury,5,19,0,NA,NA,ESE,15,NA,SE,0,7,71,47,1031,1028,NA,NA,18,No,
Albury,4,19,0,NA,NA,SW,20,ENE,WNW,6,7,82,49,1029,1025,NA,NA,19,No,
Albury,3,18,0,NA,NA,SW,20,SE,WNW,6,11,86,49,1026,1024,NA,NA,18,No,
Albury,4,19,0,NA,NA,W,15,NA,W,0,9,68,36,1029,1026,NA,NA,19,No,
Albury,4,21,0,NA,NA,W,17,NA,WSW,0,7,78,45,1026,1022,NA,NA,20,No,
Albury,5,20,0,NA,NA,SE,17,NA,SE,0,7,69,40,1025,1022,NA,NA,19,No,
Albury,4,18,0,NA,NA,ESE,15,NNW,S,6,7,89,53,1026,1022,8,NA,18,No,
Albury,4,19,0,NA,NA,W,26,ENE,WNW,4,17,81,49,1022,1019,NA,NA,18,No,
Albury,4,15,0,NA,NA,WNW,28,SE,W,4,17,86,61,1018,1016,NA,8,15,No,
Albury,7,16,0,NA,NA,WNW,35,WNW,WNW,17,19,77,59,1015,1013,8,8,15,No,
Albury,10,17,0,NA,NA,WNW,54,NW,NW,13,19,82,63,1015,1011,8,7,16,No,
Albury,12,16,2,NA,NA,W,52,W,WSW,22,24,82,54,1012,1013,8,8,15,Yes,
Albury,3,16,0,NA,NA,W,20,E,E,6,9,83,61,1023,1019,4,NA,15,No,
Albury,3,20,0,NA,NA,E,13,NA,ENE,0,4,82,34,1025,1021,NA,NA,19,No,
Albury,4,19,0,NA,NA,SSE,19,NA,SSE,0,11,87,51,1024,1020,NA,NA,19,No,
Albury,5,19,0,NA,NA,E,13,SSE,ENE,2,9,75,57,1023,1021,7,7,18,No,
Albury,4,20,0,NA,NA,SE,20,NA,SE,0,7,81,48,1025,1022,NA,NA,19,No,
Albury,5,20,0,NA,NA,SE,24,S,SE,4,19,75,43,1025,1021,NA,NA,20,No,
Albury,6,23,0,NA,NA,E,30,NE,SE,6,9,71,37,1022,1019,NA,NA,22,No,
Albury,7,21,0,NA,NA,SE,20,NA,SE,0,11,69,43,1025,1022,NA,NA,21,No,
Albury,9,20,0,NA,NA,NE,31,SE,NE,9,22,77,50,1025,1020,2,8,20,No,
Albury,12,18,4,NA,NA,E,19,E,SSE,2,6,97,74,1021,1019,8,3,17,Yes,
Albury,8,16,1,NA,NA,W,20,NA,WSW,0,11,99,58,1022,1019,8,NA,16,No,
Albury,3,16,0,NA,NA,SSE,13,NA,S,0,2,91,48,1023,1022,NA,NA,15,No,
Albury,2,17,0,NA,NA,ESE,33,NA,SE,0,19,67,44,1026,1024,NA,NA,16,No,
Albury,2,17,0,NA,NA,SE,26,NA,SE,0,15,65,44,1030,1029,NA,NA,17,No,
Albury,2,17,0,NA,NA,NW,44,NA,SE,0,9,73,46,1034,1030,NA,NA,17,No,
Albury,8,14,1,NA,NA,SE,13,NA,NA,0,0,88,75,1032,1029,8,8,14,Yes,
Albury,8,13,1,NA,NA,SE,13,NA,ESE,0,7,78,75,1029,1026,8,8,13,Yes,
Albury,11,14,5,NA,NA,SE,13,ENE,SE,6,9,85,97,1024,1020,8,8,13,Yes,
Albury,9,17,8,NA,NA,ENE,13,NW,E,2,4,99,58,1021,1018,8,7,17,Yes,
Albury,3,16,0,NA,NA,W,20,NNE,W,4,11,86,57,1018,1015,NA,NA,16,No,
Albury,2,11,0,NA,NA,ESE,11,E,NA,4,0,99,91,1015,1011,8,8,10,No,
Albury,5,12,14,NA,NA,NNW,30,NNW,NNW,6,17,93,80,1008,1006,8,8,12,Yes,
Albury,9,12,5,NA,NA,WNW,33,WNW,WNW,9,26,88,79,1010,1009,8,8,11,Yes,
Albury,6,9,2,NA,NA,W,43,NNW,WNW,13,13,92,95,1011,1008,8,8,8,Yes,
Albury,3,11,6,NA,NA,WNW,37,W,WSW,15,22,77,56,1018,1018,NA,4,10,Yes,
Albury,-2,10,0,NA,NA,SE,13,NA,ESE,0,6,84,72,1025,1023,NA,1,9,No,
Albury,-1,8,0,NA,NA,ESE,15,E,SSE,6,6,99,72,1026,1022,8,7,8,No,
Albury,2,12,0,NA,NA,ENE,28,E,NE,4,15,86,60,1018,1013,NA,4,12,No,
Albury,2,16,0,NA,NA,NNE,24,NA,NE,0,11,82,49,1012,1009,NA,NA,16,No,
Albury,1,15,0,NA,NA,ESE,13,NNE,NA,2,0,99,63,1014,1013,NA,NA,14,No,
Albury,1,18,0,NA,NA,SE,17,NA,ESE,0,6,83,49,1022,1022,NA,NA,15,No,
Albury,1,16,0,NA,NA,WSW,13,NA,W,0,2,94,52,1030,1028,NA,NA,15,No,
Albury,1,15,0,NA,NA,N,11,N,NA,6,0,99,63,1032,1029,8,NA,15,No,
Albury,1,15,0,NA,NA,ESE,13,NE,SE,6,6,93,56,1031,1027,NA,NA,15,No,
Albury,1,17,0,NA,NA,NNE,28,NE,NE,4,17,85,56,1026,1021,7,8,17,No,
Albury,7,17,2,NA,NA,ENE,46,NW,ENE,4,20,99,71,1022,1019,1,1,16,Yes,
Albury,5,15,6,NA,NA,SE,19,SE,ENE,4,6,99,78,1021,1019,1,8,14,Yes,
Albury,4,16,0,NA,NA,W,35,ENE,SSE,11,7,99,70,1020,1016,8,6,15,No,
Albury,8,14,6,NA,NA,ESE,41,ESE,SE,7,9,81,65,1015,1013,8,5,14,Yes,
Albury,5,12,0,NA,NA,NNW,24,ESE,N,2,13,99,75,1016,1013,7,8,12,No,
Albury,7,14,4,NA,NA,SE,46,ESE,ESE,7,9,99,73,1012,1008,7,NA,13,Yes,
Albury,8,12,0,NA,NA,SSE,22,SE,SE,7,6,79,81,1008,1006,8,8,11,No,
Albury,9,12,5,NA,NA,W,22,WSW,NNW,9,11,98,76,1008,1007,7,8,12,Yes,
Albury,8,16,4,NA,NA,NE,26,NE,NNE,9,15,91,69,1011,1009,8,8,16,Yes,
Albury,9,16,2,NA,NA,NW,72,NE,NE,11,19,78,73,1008,1001,8,8,15,Yes,
Albury,8,13,8,NA,NA,NW,52,N,NW,20,22,85,68,1007,1005,8,5,13,Yes,
Albury,9,12,5,NA,NA,WNW,54,NW,WNW,19,19,88,74,1009,1007,8,4,11,Yes,
Albury,8,12,8,NA,NA,W,61,W,WSW,17,22,82,62,1009,1010,8,1,12,Yes,
Albury,6,13,0,NA,NA,WNW,39,WNW,WNW,15,24,91,76,1016,1015,8,8,13,No,
Albury,3,12,0,NA,NA,W,31,W,W,9,15,80,56,1020,1019,NA,NA,12,No,
Albury,0,12,0,NA,NA,ENE,19,NNE,WSW,7,7,99,65,1022,1020,8,NA,11,No,
Albury,-2,13,0,NA,NA,E,19,NA,ENE,0,7,91,46,1026,1025,NA,NA,12,No,
Albury,-2,14,0,NA,NA,E,17,NA,ESE,0,7,84,54,1030,1028,NA,NA,12,No,
Albury,0,15,0,NA,NA,ESE,13,NA,SE,0,7,84,54,1032,1029,NA,NA,14,No,
Albury,0,14,0,NA,NA,E,13,NA,SSE,0,9,93,62,1029,1024,NA,NA,13,No,
Albury,5,13,1,NA,NA,NE,24,NA,NE,0,13,96,63,1021,1016,7,1,13,No,
Albury,8,17,1,NA,NA,NNW,33,SSE,NNW,7,19,77,53,1010,1008,2,6,15,No,
Albury,6,13,1,NA,NA,WNW,41,N,NNW,13,11,82,73,1008,1006,8,8,12,No,
Albury,7,11,7,NA,NA,W,30,N,SSW,9,9,94,75,1007,1006,8,8,10,Yes,
Albury,3,13,2,NA,NA,WSW,22,ENE,NA,4,0,99,57,1011,1010,8,NA,13,Yes,
Albury,-1,13,0,NA,NA,WNW,24,NA,WSW,0,9,95,57,1016,1015,NA,NA,13,No,
Albury,0,14,0,NA,NA,N,17,NNE,SW,4,6,88,52,1022,1021,NA,NA,14,No,
Albury,-1,12,0,NA,NA,N,20,NA,N,0,11,98,64,1023,1020,7,5,11,No,
Albury,3,14,1,NA,NA,NNE,24,ESE,NE,7,11,94,65,1022,1020,8,8,14,No,
Albury,4,17,0,NA,NA,NW,39,NA,N,0,19,95,53,1023,1018,8,NA,16,No,
Albury,1,18,0,NA,NA,N,43,ENE,ENE,4,17,87,46,1020,1013,NA,NA,18,No,
Albury,7,12,0,NA,NA,W,44,ENE,NNW,7,20,74,81,1010,1006,7,8,10,No,
Albury,6,14,10,NA,NA,WNW,26,W,W,13,17,83,58,1015,1018,7,7,13,Yes,
Albury,0,13,0,NA,NA,NW,22,NA,NNW,0,15,87,58,1027,1025,NA,2,12,No,
Albury,0,12,0,NA,NA,NE,20,NA,NE,0,9,95,61,1027,1023,NA,NA,11,No,
Albury,2,10,0,NA,NA,SSE,13,NA,E,0,2,85,74,1018,1014,5,NA,10,No,
Albury,1,9,0,NA,NA,N,20,ENE,NNW,6,9,99,91,1020,1020,8,8,7,No,
Albury,4,13,4,NA,NA,WNW,31,NW,WNW,11,11,89,71,1024,1023,8,8,12,Yes,
Albury,8,13,2,NA,NA,WNW,24,NW,WSW,11,9,98,81,1026,1025,8,8,12,Yes,
Albury,3,12,0,NA,NA,NNW,22,NA,WNW,0,9,99,76,1026,1023,7,7,12,No,
Albury,7,15,5,NA,NA,W,35,W,WSW,19,22,81,61,1021,1022,5,8,13,Yes,
Albury,7,14,0,NA,NA,W,30,NA,WNW,0,15,99,70,1027,1025,7,3,13,No,
Albury,8,14,1,NA,NA,NNW,30,SW,NNW,2,17,94,65,1028,1025,1,6,13,No,
Albury,8,14,1,NA,NA,NNW,37,W,WNW,20,15,79,49,1023,1023,NA,NA,14,No,
Albury,3,15,0,NA,NA,SSE,17,NA,ENE,0,4,91,53,1022,1019,1,NA,14,No,
Albury,6,14,5,NA,NA,NNE,19,ENE,S,7,7,98,76,1022,1020,8,8,14,Yes,
Albury,5,17,0,NA,NA,N,35,NA,NE,0,19,99,58,1022,1017,7,NA,17,No,
Albury,8,14,1,NA,NA,WNW,57,WNW,WSW,35,33,79,47,1013,1016,8,8,14,No,
Albury,-1,13,4,NA,NA,WNW,24,E,WSW,6,6,78,50,1026,1023,NA,NA,12,Yes,
Albury,-1,12,0,NA,NA,ESE,15,S,E,2,7,91,48,1022,1019,NA,NA,12,No,
Albury,2,15,0,NA,NA,SE,20,SSE,SE,4,11,72,60,1019,1015,NA,NA,13,No,
Albury,6,18,0,NA,NA,NNE,43,E,NNW,19,22,62,59,1009,1009,1,1,16,No,
Albury,7,14,5,NA,NA,W,24,SSE,NW,6,13,99,74,1012,1010,8,8,13,Yes,
Albury,8,12,0,NA,NA,NW,22,NW,N,6,13,94,87,1016,1015,8,7,11,No,
Albury,7,15,1,NA,NA,WSW,22,NA,WNW,0,13,99,61,1021,1019,8,NA,15,Yes,
Albury,3,18,0,NA,NA,NNE,24,SE,NE,7,13,99,57,1021,1017,8,NA,17,No,
Albury,5,16,2,NA,NA,W,39,NE,ENE,11,11,79,70,1012,1006,8,8,14,Yes,
Albury,4,14,3,NA,NA,WNW,37,W,WNW,20,19,73,57,1018,1020,1,NA,13,Yes,
Albury,1,16,0,NA,NA,WNW,15,NA,S,0,6,85,58,1030,1027,NA,2,14,No,
Albury,2,16,0,NA,NA,E,17,NE,S,7,7,99,61,1028,1023,8,1,15,No,
